學號,性別,分發宿舍,分發寢室,分發床號
41020302L,女,女一舍,5411,4
41020304L,女,女一舍,5411,5
41020314L,女,女一舍,5411,6
40921204L,女,女一舍,5412,1
40921236L,女,女一舍,5412,2
40922022L,女,女一舍,5412,3
40922026L,女,女一舍,5412,4
40922040L,女,女一舍,5412,5
40922005L,女,女一舍,5412,6
41075031H,女,女一舍,5413,1
41075055H,女,女一舍,5413,2
41075049H,女,女一舍,5413,3
41075053H,女,女一舍,5413,4
40975004H,女,女一舍,5413,5
41075902H,女,女一舍,5413,6
40984249I,女,女一舍,5414,1
40984250I,女,女一舍,5414,2
40984256I,女,女一舍,5414,3
40984255I,女,女一舍,5414,4
40984251I,女,女一舍,5414,5
40984263I,女,女一舍,5414,6
40968024T,女,女一舍,5415,1
40984260I,女,女一舍,5415,2
40971132H,女,女一舍,5415,3
40971104H,女,女一舍,5415,4
40968004T,女,女一舍,5415,5
40972005H,女,女一舍,5415,6
40821131L,女,女一舍,5416,1
40984237I,女,女一舍,5416,2
40820232L,女,女一舍,5416,3
40872047H,女,女一舍,5416,4
40922054L,女,女一舍,5416,5
40847056S,女,女一舍,5416,6
41092005M,女,女一舍,5417,1
41092001M,女,女一舍,5417,2
41092002M,女,女一舍,5417,3
41092008M,女,女一舍,5417,4
41092003M,女,女一舍,5417,5
41092006M,女,女一舍,5417,6
40907139E,女,女一舍,5418,1
40823242L,女,女一舍,5418,2
40920237L,女,女一舍,5418,3
40907143E,女,女一舍,5418,4
40923236L,女,女一舍,5418,5
40747052S,女,女一舍,5418,6
41068009T,女,女一舍,5419,1
41084206I,女,女一舍,5419,2
41084263I,女,女一舍,5419,3
41068010T,女,女一舍,5419,4
41068019T,女,女一舍,5419,5
41084123I,女,女一舍,5419,6
40900103E,女,女一舍,5420,1
40900111E,女,女一舍,5420,2
40900112E,女,女一舍,5420,3
40900114E,女,女一舍,5420,4
40900115E,女,女一舍,5420,5
40900117E,女,女一舍,5420,6
40801042E,女,女一舍,5421,1
40806130E,女,女一舍,5421,2
40806132E,女,女一舍,5421,3
40806134E,女,女一舍,5421,4
40806233E,女,女一舍,5421,5
40806235E,女,女一舍,5421,6
41057022O,女,女一舍,5422,1
41073153H,女,女一舍,5422,2
41022061L,女,女一舍,5422,3
41022021L,女,女一舍,5422,4
41083053I,女,女一舍,5422,5
41002034E,女,女一舍,5422,6
40830038A,女,女一舍,5423,1
40884261I,女,女一舍,5423,2
40884250I,女,女一舍,5423,3
40884242I,女,女一舍,5423,4
40884266I,女,女一舍,5423,5
40884253I,女,女一舍,5423,6
40921134L,女,女一舍,5430,1
40921135L,女,女一舍,5430,2
41060031T,女,女一舍,5430,3
41060025T,女,女一舍,5430,4
40921202L,女,女一舍,5430,5
41060005T,女,女一舍,5430,6
41020119L,女,女一舍,5447,1
41020117L,女,女一舍,5447,2
41005027E,女,女一舍,5447,3
41020319L,女,女一舍,5447,4
41020120L,女,女一舍,5447,5
41005028E,女,女一舍,5447,6
41077012H,女,女二舍2人房,A0528,1
41000119E,女,女二舍2人房,A0529,1
41047020S,女,女二舍2人房,A0529,2
40951029S,女,女二舍2人房,A0530,1
41000134E,女,女二舍2人房,A0530,2
40940217S,女,女二舍2人房,A0531,1
40944037S,女,女二舍2人房,A0531,2
40922058L,女,女二舍2人房,A0532,1
40922065L,女,女二舍2人房,A0532,2
40892010M,女,女二舍2人房,A0622,1
40907131E,女,女二舍2人房,A0622,2
40984235I,女,女二舍2人房,A0623,1
40890209M,女,女二舍2人房,A0623,2
40983024I,女,女二舍2人房,A0624,1
40884115I,女,女二舍2人房,A0624,2
40883040I,女,女二舍2人房,A0625,1
40883019I,女,女二舍2人房,A0625,2
40883018I,女,女二舍2人房,A0626,1
40983008I,女,女二舍2人房,A0626,2
41041104S,女,女二舍2人房,A0627,1
40841131S,女,女二舍2人房,A0627,2
40830009A,女,女二舍2人房,A0628,1
40830058A,女,女二舍2人房,A0628,2
41023131L,女,女二舍2人房,A0629,1
41023237L,女,女二舍2人房,A0629,2
40821229L,女,女二舍2人房,A0630,1
40823132L,女,女二舍2人房,A0630,2
41021222L,女,女二舍2人房,A0631,1
41021145L,女,女二舍2人房,A0631,2
40809013E,女,女二舍2人房,A0632,1
41021123L,女,女二舍2人房,A0632,2
41006236E,女,女二舍2人房,A0722,1
40806129E,女,女二舍2人房,A0722,2
40801035E,女,女二舍2人房,A0723,1
40806120E,女,女二舍2人房,A0723,2
40801021E,女,女二舍2人房,A0724,1
40801005E,女,女二舍2人房,A0724,2
40960045T,女,女二舍2人房,A0725,1
40760122T,女,女二舍2人房,A0725,2
40743904S,女,女二舍2人房,A0726,1
40960039T,女,女二舍2人房,A0726,2
40720105L,女,女二舍2人房,A0727,1
40920127L,女,女二舍2人房,A0727,2
41000128E,女,女二舍2人房,A0728,1
40805015E,女,女二舍2人房,A0728,2
40807136E,女,女二舍2人房,A0729,1
40807234E,女,女二舍2人房,A0729,2
40890124M,女,女二舍2人房,A0730,1
40990114M,女,女二舍2人房,A0730,2
40809019E,女,女二舍2人房,A0731,1
40809035E,女,女二舍2人房,A0731,2
41057040O,女,女二舍2人房,A0732,1
41057020O,女,女二舍2人房,A0732,2
40922066L,女,女二舍2人房,A0822,1
40922060L,女,女二舍2人房,A0822,2
40821117L,女,女二舍2人房,A0823,1
40821230L,女,女二舍2人房,A0823,2
41009019E,女,女二舍2人房,A0824,1
41009023E,女,女二舍2人房,A0824,2
40844015S,女,女二舍2人房,A0825,1
40844006S,女,女二舍2人房,A0825,2
40892007M,女,女二舍2人房,A0826,1
40892009M,女,女二舍2人房,A0826,2
41043227S,女,女二舍2人房,A0827,1
40843101S,女,女二舍2人房,A0827,2
40972018H,女,女二舍2人房,A0828,1
40972010H,女,女二舍2人房,A0828,2
41044011S,女,女二舍2人房,A0829,1
41044044S,女,女二舍2人房,A0829,2
40811010E,女,女二舍2人房,A0830,1
40811004E,女,女二舍2人房,A0830,2
41060026T,女,女二舍2人房,A0831,1
41060043T,女,女二舍2人房,A0831,2
40947064S,女,女二舍2人房,A0832,1
40940232S,女,女二舍2人房,A0832,2
41030022A,女,女二舍2人房,A0922,1
41030045A,女,女二舍2人房,A0922,2
40890131M,女,女二舍2人房,A0923,1
40968010T,女,女二舍2人房,A0923,2
40923241L,女,女二舍2人房,A0924,1
40907241E,女,女二舍2人房,A0924,2
40892016M,女,女二舍2人房,A0925,1
40792017M,女,女二舍2人房,A0925,2
40857007O,女,女二舍2人房,A0926,1
40857018O,女,女二舍2人房,A0926,2
40822023L,女,女二舍2人房,A0927,1
40823144L,女,女二舍2人房,A0927,2
41057036O,女,女二舍2人房,A0928,1
41084250I,女,女二舍2人房,A0928,2
41042106S,女,女二舍2人房,A0929,1
41042219S,女,女二舍2人房,A0929,2
40843121S,女,女二舍2人房,A0930,1
40972039H,女,女二舍2人房,A0930,2
40847021S,女,女二舍2人房,A0931,1
40847022S,女,女二舍2人房,A0931,2
40921144L,女,女二舍2人房,A0932,1
40944043S,女,女二舍2人房,A0932,2
40807121E,女,女二舍2人房,A1022,1
40802006E,女,女二舍2人房,A1022,2
41007236E,女,女二舍2人房,A1023,1
40801001E,女,女二舍2人房,A1023,2
40800229E,女,女二舍2人房,A1024,1
40800227E,女,女二舍2人房,A1024,2
40940316S,女,女二舍2人房,A1025,1
40941202S,女,女二舍2人房,A1025,2
40807115E,女,女二舍2人房,A1026,1
40807137E,女,女二舍2人房,A1026,2
40983051I,女,女二舍2人房,A1027,1
40983056I,女,女二舍2人房,A1027,2
40890212M,女,女二舍2人房,A1028,1
40890208M,女,女二舍2人房,A1028,2
40700236E,女,女二舍2人房,A1029,1
40720236L,女,女二舍2人房,A1029,2
40923203L,女,女二舍2人房,A1030,1
40923119L,女,女二舍2人房,A1030,2
41072055H,女,女二舍2人房,A1031,1
41021212L,女,女二舍2人房,A1031,2
40851004S,女,女二舍2人房,A1032,1
40851003S,女,女二舍2人房,A1032,2
41057019O,女,女二舍2人房,A1122,1
41009024E,女,女二舍2人房,A1122,2
40820107L,女,女二舍2人房,A1123,1
40820130L,女,女二舍2人房,A1123,2
40707207E,女,女二舍2人房,A1124,1
40707205E,女,女二舍2人房,A1124,2
41021117L,女,女二舍2人房,A1125,1
41068020T,女,女二舍2人房,A1125,2
40820317L,女,女二舍2人房,A1126,1
40820220L,女,女二舍2人房,A1126,2
40920333L,女,女二舍2人房,A1127,1
40920306L,女,女二舍2人房,A1127,2
40941103S,女,女二舍2人房,A1128,1
40960028T,女,女二舍2人房,A1128,2
41002031E,女,女二舍2人房,A1129,1
41002047E,女,女二舍2人房,A1129,2
41083041I,女,女二舍2人房,A1130,1
41084208I,女,女二舍2人房,A1130,2
40844042S,女,女二舍2人房,A1131,1
40844010S,女,女二舍2人房,A1131,2
40820311L,女,女二舍2人房,A1132,1
40820328L,女,女二舍2人房,A1132,2
41007140E,女,女二舍2人房,A1222,1
41042245S,女,女二舍2人房,A1222,2
40751012S,女,女二舍2人房,A1223,1
41005902E,女,女二舍2人房,A1223,2
40921142L,女,女二舍2人房,A1224,1
41021128L,女,女二舍2人房,A1224,2
40907114E,女,女二舍2人房,A1225,1
40907119E,女,女二舍2人房,A1225,2
41077905H,女,女二舍2人房,A1226,1
40944008S,女,女二舍2人房,A1226,2
40920209L,女,女二舍2人房,A1227,1
40920201L,女,女二舍2人房,A1227,2
40842136S,女,女二舍2人房,A1228,1
40811005E,女,女二舍2人房,A1228,2
40892013M,女,女二舍2人房,A1229,1
40890109M,女,女二舍2人房,A1229,2
40868006T,女,女二舍2人房,A1230,1
40868032T,女,女二舍2人房,A1230,2
40806118E,女,女二舍2人房,A1231,1
40806116E,女,女二舍2人房,A1231,2
41022029L,女,女二舍2人房,A1232,1
41011008E,女,女二舍2人房,A1232,2
40957046O,女,女二舍4人房,A0611,1
40983060I,女,女二舍4人房,A0611,2
40983005I,女,女二舍4人房,A0611,3
41073138H,女,女二舍4人房,A0611,4
41044045S,女,女二舍4人房,A0612,1
40944901S,女,女二舍4人房,A0612,2
41057015O,女,女二舍4人房,A0612,3
40957029O,女,女二舍4人房,A0612,4
40890219M,女,女二舍4人房,A0613,1
40911007E,女,女二舍4人房,A0613,2
40921113L,女,女二舍4人房,A0613,3
41021119L,女,女二舍4人房,A0613,4
40975021H,女,女二舍4人房,A0614,1
40877010H,女,女二舍4人房,A0614,2
41077020H,女,女二舍4人房,A0614,3
41090211M,女,女二舍4人房,A0614,4
41072012H,女,女二舍4人房,A0615,1
40872023H,女,女二舍4人房,A0615,2
41072014H,女,女二舍4人房,A0615,3
40875004H,女,女二舍4人房,A0615,4
40872004H,女,女二舍4人房,A0616,1
41072009H,女,女二舍4人房,A0616,2
40972903H,女,女二舍4人房,A0616,3
40872003H,女,女二舍4人房,A0616,4
41047046S,女,女二舍4人房,A0617,1
40847053S,女,女二舍4人房,A0617,2
40851002S,女,女二舍4人房,A0617,3
41072040H,女,女二舍4人房,A0617,4
40843224S,女,女二舍4人房,A0618,1
41043206S,女,女二舍4人房,A0618,2
40943124S,女,女二舍4人房,A0618,3
41047010S,女,女二舍4人房,A0618,4
40940119S,女,女二舍4人房,A0619,1
41041133S,女,女二舍4人房,A0619,2
41041119S,女,女二舍4人房,A0619,3
40841230S,女,女二舍4人房,A0619,4
40940314S,女,女二舍4人房,A0620,1
40940315S,女,女二舍4人房,A0620,2
40940320S,女,女二舍4人房,A0620,3
40840112S,女,女二舍4人房,A0620,4
40926017L,女,女二舍4人房,A0621,1
40832039A,女,女二舍4人房,A0621,2
40832063A,女,女二舍4人房,A0621,3
40832023A,女,女二舍4人房,A0621,4
40826017L,女,女二舍4人房,A0701,1
41071105H,女,女二舍4人房,A0701,2
41071213H,女,女二舍4人房,A0701,3
40826002L,女,女二舍4人房,A0701,4
41022020L,女,女二舍4人房,A0702,1
40871220H,女,女二舍4人房,A0702,2
40813005E,女,女二舍4人房,A0702,3
40822053L,女,女二舍4人房,A0702,4
40822047L,女,女二舍4人房,A0703,1
40807233E,女,女二舍4人房,A0703,2
40822003L,女,女二舍4人房,A0703,3
40809021E,女,女二舍4人房,A0703,4
40807127E,女,女二舍4人房,A0704,1
41005032E,女,女二舍4人房,A0704,2
41005018E,女,女二舍4人房,A0704,3
41007118E,女,女二舍4人房,A0704,4
40813008E,女,女二舍4人房,A0705,1
40922016L,女,女二舍4人房,A0705,2
40922013L,女,女二舍4人房,A0705,3
40806119E,女,女二舍4人房,A0705,4
41057064O,女,女二舍4人房,A0706,1
41042208S,女,女二舍4人房,A0706,2
40968017T,女,女二舍4人房,A0706,3
40968012T,女,女二舍4人房,A0706,4
40806117E,女,女二舍4人房,A0707,1
40884207I,女,女二舍4人房,A0707,2
40884220I,女,女二舍4人房,A0707,3
40806106E,女,女二舍4人房,A0707,4
40972038H,女,女二舍4人房,A0708,1
40972019H,女,女二舍4人房,A0708,2
41041114S,女,女二舍4人房,A0708,3
41041205S,女,女二舍4人房,A0708,4
40802045E,女,女二舍4人房,A0709,1
40821120L,女,女二舍4人房,A0709,2
40821115L,女,女二舍4人房,A0709,3
40802026E,女,女二舍4人房,A0709,4
40806211E,女,女二舍4人房,A0710,1
40806201E,女,女二舍4人房,A0710,2
41068032T,女,女二舍4人房,A0710,3
41068002T,女,女二舍4人房,A0710,4
40884234I,女,女二舍4人房,A0711,1
40805037E,女,女二舍4人房,A0711,2
40992010M,女,女二舍4人房,A0711,3
40802027E,女,女二舍4人房,A0711,4
40820121L,女,女二舍4人房,A0712,1
40820224L,女,女二舍4人房,A0712,2
40872024H,女,女二舍4人房,A0712,3
40872019H,女,女二舍4人房,A0712,4
40742201S,女,女二舍4人房,A0713,1
40841225S,女,女二舍4人房,A0713,2
40901031E,女,女二舍4人房,A0713,3
40901034E,女,女二舍4人房,A0713,4
40801009E,女,女二舍4人房,A0714,1
40801031E,女,女二舍4人房,A0714,2
40801030E,女,女二舍4人房,A0714,3
40884265I,女,女二舍4人房,A0714,4
40851006S,女,女二舍4人房,A0715,1
40851015S,女,女二舍4人房,A0715,2
40851013S,女,女二舍4人房,A0715,3
40784227I,女,女二舍4人房,A0715,4
41084204I,女,女二舍4人房,A0716,1
40772046H,女,女二舍4人房,A0716,2
40822052L,女,女二舍4人房,A0716,3
40806217E,女,女二舍4人房,A0716,4
40907231E,女,女二舍4人房,A0717,1
40905015E,女,女二舍4人房,A0717,2
40905019E,女,女二舍4人房,A0717,3
40784225I,女,女二舍4人房,A0717,4
40842124S,女,女二舍4人房,A0718,1
41005006E,女,女二舍4人房,A0718,2
41005010E,女,女二舍4人房,A0718,3
41005023E,女,女二舍4人房,A0718,4
40947015S,女,女二舍4人房,A0719,1
40947018S,女,女二舍4人房,A0719,2
40947019S,女,女二舍4人房,A0719,3
40783010I,女,女二舍4人房,A0719,4
40900227E,女,女二舍4人房,A0720,1
40900125E,女,女二舍4人房,A0720,2
40800106E,女,女二舍4人房,A0720,3
40771231H,女,女二舍4人房,A0720,4
40923233L,女,女二舍4人房,A0721,1
40923232L,女,女二舍4人房,A0721,2
40900214E,女,女二舍4人房,A0721,3
40830040A,女,女二舍4人房,A0721,4
40968013T,女,女二舍4人房,A0733,1
40968019T,女,女二舍4人房,A0733,2
40968038T,女,女二舍4人房,A0733,3
40830015A,女,女二舍4人房,A0733,4
40883039I,女,女二舍4人房,A0801,1
40802050E,女,女二舍4人房,A0801,2
40883012I,女,女二舍4人房,A0801,3
40730019A,女,女二舍4人房,A0801,4
40909002E,女,女二舍4人房,A0802,1
41009009E,女,女二舍4人房,A0802,2
41009002E,女,女二舍4人房,A0802,3
40923227L,女,女二舍4人房,A0802,4
40941104S,女,女二舍4人房,A0803,1
40943115S,女,女二舍4人房,A0803,2
40941105S,女,女二舍4人房,A0803,3
40923126L,女,女二舍4人房,A0803,4
40923210L,女,女二舍4人房,A0804,1
40907142E,女,女二舍4人房,A0804,2
40909040E,女,女二舍4人房,A0804,3
40923237L,女,女二舍4人房,A0804,4
40909009E,女,女二舍4人房,A0805,1
40909034E,女,女二舍4人房,A0805,2
41007113E,女,女二舍4人房,A0805,3
41023133L,女,女二舍4人房,A0805,4
40872036H,女,女二舍4人房,A0806,1
40872020H,女,女二舍4人房,A0806,2
40723104L,女,女二舍4人房,A0806,3
40872037H,女,女二舍4人房,A0806,4
40820204L,女,女二舍4人房,A0807,1
40960033T,女,女二舍4人房,A0807,2
40960016T,女,女二舍4人房,A0807,3
40968009T,女,女二舍4人房,A0807,4
40851014S,女,女二舍4人房,A0808,1
40800216E,女,女二舍4人房,A0808,2
40851012S,女,女二舍4人房,A0808,3
40720336L,女,女二舍4人房,A0808,4
40823113L,女,女二舍4人房,A0809,1
40871123H,女,女二舍4人房,A0809,2
40971904H,女,女二舍4人房,A0809,3
41020113L,女,女二舍4人房,A0809,4
40868005T,女,女二舍4人房,A0810,1
40868014T,女,女二舍4人房,A0810,2
40868031T,女,女二舍4人房,A0810,3
40920313L,女,女二舍4人房,A0810,4
41020215L,女,女二舍4人房,A0811,1
40860210T,女,女二舍4人房,A0811,2
40821236L,女,女二舍4人房,A0811,3
40821213L,女,女二舍4人房,A0811,4
40820315L,女,女二舍4人房,A0812,1
40800203E,女,女二舍4人房,A0812,2
40800119E,女,女二舍4人房,A0812,3
40720319L,女,女二舍4人房,A0812,4
40820218L,女,女二舍4人房,A0813,1
40700214E,女,女二舍4人房,A0813,2
40900107E,女,女二舍4人房,A0813,3
41021236L,女,女二舍4人房,A0813,4
40807239E,女,女二舍4人房,A0814,1
40807212E,女,女二舍4人房,A0814,2
40807213E,女,女二舍4人房,A0814,3
41005039E,女,女二舍4人房,A0814,4
40920232L,女,女二舍4人房,A0815,1
40909030E,女,女二舍4人房,A0815,2
40922055L,女,女二舍4人房,A0815,3
41005031E,女,女二舍4人房,A0815,4
40871213H,女,女二舍4人房,A0816,1
40871211H,女,女二舍4人房,A0816,2
40871103H,女,女二舍4人房,A0816,3
40905903E,女,女二舍4人房,A0816,4
40932011A,女,女二舍4人房,A0817,1
40832022A,女,女二舍4人房,A0817,2
40932052A,女,女二舍4人房,A0817,3
40705009E,女,女二舍4人房,A0817,4
40826001L,女,女二舍4人房,A0818,1
40826011L,女,女二舍4人房,A0818,2
40826018L,女,女二舍4人房,A0818,3
40800212E,女,女二舍4人房,A0818,4
40922048L,女,女二舍4人房,A0819,1
40922035L,女,女二舍4人房,A0819,2
40822044L,女,女二舍4人房,A0819,3
40800215E,女,女二舍4人房,A0819,4
40813015E,女,女二舍4人房,A0820,1
40822018L,女,女二舍4人房,A0820,2
40822020L,女,女二舍4人房,A0820,3
41000201E,女,女二舍4人房,A0820,4
40844013S,女,女二舍4人房,A0821,1
40800123E,女,女二舍4人房,A0821,2
40844004S,女,女二舍4人房,A0821,3
40744006S,女,女二舍4人房,A0821,4
40990201M,女,女二舍4人房,A0901,1
40806125E,女,女二舍4人房,A0901,2
40820131L,女,女二舍4人房,A0901,3
40700225E,女,女二舍4人房,A0901,4
40872007H,女,女二舍4人房,A0902,1
40902042E,女,女二舍4人房,A0902,2
40868035T,女,女二舍4人房,A0902,3
40857021O,女,女二舍4人房,A0902,4
41000904E,女,女二舍4人房,A0903,1
41007229E,女,女二舍4人房,A0903,2
40668036T,女,女二舍4人房,A0903,3
41007211E,女,女二舍4人房,A0903,4
41044048S,女,女二舍4人房,A0904,1
41077001H,女,女二舍4人房,A0904,2
40868039T,女,女二舍4人房,A0904,3
41044016S,女,女二舍4人房,A0904,4
40942225S,女,女二舍4人房,A0905,1
40942206S,女,女二舍4人房,A0905,2
40942220S,女,女二舍4人房,A0905,3
40942223S,女,女二舍4人房,A0905,4
40930039A,女,女二舍4人房,A0906,1
41030041A,女,女二舍4人房,A0906,2
40930038A,女,女二舍4人房,A0906,3
40830037A,女,女二舍4人房,A0906,4
40905035E,女,女二舍4人房,A0907,1
40807113E,女,女二舍4人房,A0907,2
40807216E,女,女二舍4人房,A0907,3
40807119E,女,女二舍4人房,A0907,4
40884205I,女,女二舍4人房,A0908,1
40775045H,女,女二舍4人房,A0908,2
40875006H,女,女二舍4人房,A0908,3
40875022H,女,女二舍4人房,A0908,4
40821129L,女,女二舍4人房,A0909,1
40884208I,女,女二舍4人房,A0909,2
40800120E,女,女二舍4人房,A0909,3
40822051L,女,女二舍4人房,A0909,4
40801015E,女,女二舍4人房,A0910,1
40890111M,女,女二舍4人房,A0910,2
40977003H,女,女二舍4人房,A0910,3
40977012H,女,女二舍4人房,A0910,4
41060009T,女,女二舍4人房,A0911,1
41060023T,女,女二舍4人房,A0911,2
41060034T,女,女二舍4人房,A0911,3
41060042T,女,女二舍4人房,A0911,4
40921127L,女,女二舍4人房,A0912,1
40921133L,女,女二舍4人房,A0912,2
40842133S,女,女二舍4人房,A0912,3
40921105L,女,女二舍4人房,A0912,4
41060038T,女,女二舍4人房,A0913,1
41007241E,女,女二舍4人房,A0913,2
41060044T,女,女二舍4人房,A0913,3
41060039T,女,女二舍4人房,A0913,4
40801022E,女,女二舍4人房,A0914,1
40807114E,女,女二舍4人房,A0914,2
40801036E,女,女二舍4人房,A0914,3
40801004E,女,女二舍4人房,A0914,4
41071214H,女,女二舍4人房,A0915,1
41071217H,女,女二舍4人房,A0915,2
41077004H,女,女二舍4人房,A0915,3
41071218H,女,女二舍4人房,A0915,4
40942121S,女,女二舍4人房,A0916,1
40890112M,女,女二舍4人房,A0916,2
40730006A,女,女二舍4人房,A0916,3
40730042A,女,女二舍4人房,A0916,4
40730003A,女,女二舍4人房,A0917,1
41092007M,女,女二舍4人房,A0917,2
41083023I,女,女二舍4人房,A0917,3
41060029T,女,女二舍4人房,A0917,4
40940105S,女,女二舍4人房,A0918,1
40940115S,女,女二舍4人房,A0918,2
40942126S,女,女二舍4人房,A0918,3
40901035E,女,女二舍4人房,A0918,4
41042123S,女,女二舍4人房,A0919,1
41042124S,女,女二舍4人房,A0919,2
41042135S,女,女二舍4人房,A0919,3
41042132S,女,女二舍4人房,A0919,4
40920202L,女,女二舍4人房,A0920,1
40920307L,女,女二舍4人房,A0920,2
40884209I,女,女二舍4人房,A0920,3
40823102L,女,女二舍4人房,A0920,4
40800126E,女,女二舍4人房,A0921,1
40800204E,女,女二舍4人房,A0921,2
40800103E,女,女二舍4人房,A0921,3
40800222E,女,女二舍4人房,A0921,4
40857040O,女,女二舍4人房,A0933,1
40857036O,女,女二舍4人房,A0933,2
40821135L,女,女二舍4人房,A0933,3
40805029E,女,女二舍4人房,A0933,4
40883010I,女,女二舍4人房,A1001,1
40883026I,女,女二舍4人房,A1001,2
40800218E,女,女二舍4人房,A1001,3
40800217E,女,女二舍4人房,A1001,4
40809011E,女,女二舍4人房,A1002,1
40809015E,女,女二舍4人房,A1002,2
40809017E,女,女二舍4人房,A1002,3
40809016E,女,女二舍4人房,A1002,4
40830024A,女,女二舍4人房,A1003,1
40830005A,女,女二舍4人房,A1003,2
40842231S,女,女二舍4人房,A1003,3
40830028A,女,女二舍4人房,A1003,4
40890223M,女,女二舍4人房,A1004,1
40890113M,女,女二舍4人房,A1004,2
40890217M,女,女二舍4人房,A1004,3
40890116M,女,女二舍4人房,A1004,4
40809002E,女,女二舍4人房,A1005,1
40871222H,女,女二舍4人房,A1005,2
40809003E,女,女二舍4人房,A1005,3
40809009E,女,女二舍4人房,A1005,4
40871209H,女,女二舍4人房,A1006,1
40847044S,女,女二舍4人房,A1006,2
40847009S,女,女二舍4人房,A1006,3
40847037S,女,女二舍4人房,A1006,4
40840114S,女,女二舍4人房,A1007,1
40840318S,女,女二舍4人房,A1007,2
40840130S,女,女二舍4人房,A1007,3
40940113S,女,女二舍4人房,A1007,4
41043112S,女,女二舍4人房,A1008,1
41043116S,女,女二舍4人房,A1008,2
41043133S,女,女二舍4人房,A1008,3
41043230S,女,女二舍4人房,A1008,4
40951031S,女,女二舍4人房,A1009,1
40951017S,女,女二舍4人房,A1009,2
41006226E,女,女二舍4人房,A1009,3
41001002E,女,女二舍4人房,A1009,4
40984202I,女,女二舍4人房,A1010,1
40984207I,女,女二舍4人房,A1010,2
40984204I,女,女二舍4人房,A1010,3
40984205I,女,女二舍4人房,A1010,4
40905007E,女,女二舍4人房,A1011,1
40905017E,女,女二舍4人房,A1011,2
40905008E,女,女二舍4人房,A1011,3
40905010E,女,女二舍4人房,A1011,4
40873006H,女,女二舍4人房,A1012,1
40875023H,女,女二舍4人房,A1012,2
40875003H,女,女二舍4人房,A1012,3
40841117S,女,女二舍4人房,A1012,4
40823108L,女,女二舍4人房,A1013,1
40823210L,女,女二舍4人房,A1013,2
40823105L,女,女二舍4人房,A1013,3
40823123L,女,女二舍4人房,A1013,4
40802017E,女,女二舍4人房,A1014,1
40802021E,女,女二舍4人房,A1014,2
40802009E,女,女二舍4人房,A1014,3
40802015E,女,女二舍4人房,A1014,4
40883038I,女,女二舍4人房,A1015,1
40883022I,女,女二舍4人房,A1015,2
40802049E,女,女二舍4人房,A1015,3
40807229E,女,女二舍4人房,A1015,4
40707204E,女,女二舍4人房,A1016,1
40707217E,女,女二舍4人房,A1016,2
40606317E,女,女二舍4人房,A1016,3
40606225E,女,女二舍4人房,A1016,4
40806107E,女,女二舍4人房,A1017,1
40806221E,女,女二舍4人房,A1017,2
40806203E,女,女二舍4人房,A1017,3
40806238E,女,女二舍4人房,A1017,4
41044911S,女,女二舍4人房,A1018,1
41044909S,女,女二舍4人房,A1018,2
40700228E,女,女二舍4人房,A1018,3
40744008S,女,女二舍4人房,A1018,4
41002023E,女,女二舍4人房,A1019,1
41002005E,女,女二舍4人房,A1019,2
41002024E,女,女二舍4人房,A1019,3
41002022E,女,女二舍4人房,A1019,4
40805012E,女,女二舍4人房,A1020,1
40805007E,女,女二舍4人房,A1020,2
40805027E,女,女二舍4人房,A1020,3
40805023E,女,女二舍4人房,A1020,4
40942209S,女,女二舍4人房,A1021,1
40942216S,女,女二舍4人房,A1021,2
40942202S,女,女二舍4人房,A1021,3
40942237S,女,女二舍4人房,A1021,4
40806219E,女,女二舍4人房,A1101,1
40806218E,女,女二舍4人房,A1101,2
40806205E,女,女二舍4人房,A1101,3
40806208E,女,女二舍4人房,A1101,4
40842238S,女,女二舍4人房,A1102,1
40807237E,女,女二舍4人房,A1102,2
40842237S,女,女二舍4人房,A1102,3
40842222S,女,女二舍4人房,A1102,4
41032903A,女,女二舍4人房,A1103,1
41032008A,女,女二舍4人房,A1103,2
41032023A,女,女二舍4人房,A1103,3
41042207S,女,女二舍4人房,A1103,4
40973014H,女,女二舍4人房,A1104,1
40843214S,女,女二舍4人房,A1104,2
40843116S,女,女二舍4人房,A1104,3
40843203S,女,女二舍4人房,A1104,4
40800214E,女,女二舍4人房,A1105,1
40800115E,女,女二舍4人房,A1105,2
40800116E,女,女二舍4人房,A1105,3
40800113E,女,女二舍4人房,A1105,4
41007102E,女,女二舍4人房,A1106,1
41021239L,女,女二舍4人房,A1106,2
41006222E,女,女二舍4人房,A1106,3
41009021E,女,女二舍4人房,A1106,4
41030066A,女,女二舍4人房,A1107,1
41042112S,女,女二舍4人房,A1107,2
41042117S,女,女二舍4人房,A1107,3
41042116S,女,女二舍4人房,A1107,4
41051033S,女,女二舍4人房,A1108,1
41005021E,女,女二舍4人房,A1108,2
41051012S,女,女二舍4人房,A1108,3
41072048H,女,女二舍4人房,A1108,4
41083008I,女,女二舍4人房,A1109,1
41060004T,女,女二舍4人房,A1109,2
41083046I,女,女二舍4人房,A1109,3
41083043I,女,女二舍4人房,A1109,4
40890225M,女,女二舍4人房,A1110,1
40890211M,女,女二舍4人房,A1110,2
40890222M,女,女二舍4人房,A1110,3
40890220M,女,女二舍4人房,A1110,4
41000228E,女,女二舍4人房,A1111,1
41000130E,女,女二舍4人房,A1111,2
41023217L,女,女二舍4人房,A1111,3
41020134L,女,女二舍4人房,A1111,4
